Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","569","Figs","2019","2019","7021","Annual value","USD","1178","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2019","2019","7021","Annual value","USD","1918","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","560","Grapes","2019","2019","7021","Annual value","USD","636","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1182","Honey, natural","2019","2019","7021","Annual value","USD","12262","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2019","2019","7021","Annual value","USD","519","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","497","Lemons and limes","2019","2019","7021","Annual value","USD","764","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2019","2019","7021","Annual value","USD","693","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2019","2019","7021","Annual value","USD","277","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","2019","2019","7021","Annual value","USD","3536","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2019","2019","7021","Annual value","USD","2755","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1033","Meat live weight, goat","2019","2019","7021","Annual value","USD","2328","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1056","Meat live weight, pig","2019","2019","7021","Annual value","USD","3298","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","2019","2019","7021","Annual value","USD","2365","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1088","Meat live weight, turkey","2019","2019","7021","Annual value","USD","5920","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2019","2019","7021","Annual value","USD","374","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1020","Milk, whole fresh goat","2019","2019","7021","Annual value","USD","477","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","982","Milk, whole fresh sheep","2019","2019","7021","Annual value","USD","747","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","234","Nuts nes","2019","2019","7021","Annual value","USD","3872","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2019","2019","7021","Annual value","USD","340","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","260","Olives","2019","2019","7021","Annual value","USD","1722","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","403","Onions, dry","2019","2019","7021","Annual value","USD","485","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2019","2019","7021","Annual value","USD","788","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","490","Oranges","2019","2019","7021","Annual value","USD","489","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","2019","2019","7021","Annual value","USD","616","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","521","Pears","2019","2019","7021","Annual value","USD","808","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","417","Peas, green","2019","2019","7021","Annual value","USD","648","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","536","Plums and sloes","2019","2019","7021","Annual value","USD","521","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","116","Potatoes","2019","2019","7021","Annual value","USD","418","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","523","Quinces","2019","2019","7021","Annual value","USD","647","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2019","2019","7021","Annual value","USD","520","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","236","Soybeans","2019","2019","7021","Annual value","USD","593","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","373","Spinach","2019","2019","7021","Annual value","USD","707","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","267","Sunflower seed","2019","2019","7021","Annual value","USD","1152","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","2019","2019","7021","Annual value","USD","490","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","2019","2019","7021","Annual value","USD","3789","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","388","Tomatoes","2019","2019","7021","Annual value","USD","412","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","567","Watermelons","2019","2019","7021","Annual value","USD","179","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2019","2019","7021","Annual value","USD","287","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","987","Wool, greasy","2019","2019","7021","Annual value","USD","330","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2020","2020","7021","Annual value","USD","510","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","526","Apricots","2020","2020","7021","Annual value","USD","724","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2020","2020","7021","Annual value","USD","287","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","176","Beans, dry","2020","2020","7021","Annual value","USD","2101","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2020","2020","7021","Annual value","USD","1000","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2020","2020","7021","Annual value","USD","261","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2020","2020","7021","Annual value","USD","426","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2020","2020","7021","Annual value","USD","865","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","531","Cherries","2020","2020","7021","Annual value","USD","1024","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","220","Chestnut","2020","2020","7021","Annual value","USD","1820","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2020","2020","7021","Annual value","USD","535","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2020","2020","7021","Annual value","USD","539","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","577","Dates","2020","2020","7021","Annual value","USD","397","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2020","2020","7021","Annual value","USD","772","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2020","2020","7021","Annual value","USD","3512","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","569","Figs","2020","2020","7021","Annual value","USD","911","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2020","2020","7021","Annual value","USD","2123","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","560","Grapes","2020","2020","7021","Annual value","USD","614","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1182","Honey, natural","2020","2020","7021","Annual value","USD","12578","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2020","2020","7021","Annual value","USD","326","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","497","Lemons and limes","2020","2020","7021","Annual value","USD","801","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2020","2020","7021","Annual value","USD","700","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2020","2020","7021","Annual value","USD","283","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","2020","2020","7021","Annual value","USD","3621","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2020","2020","7021","Annual value","USD","2846","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1033","Meat live weight, goat","2020","2020","7021","Annual value","USD","2377","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1056","Meat live weight, pig","2020","2020","7021","Annual value","USD","3551","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","2020","2020","7021","Annual value","USD","2440","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1088","Meat live weight, turkey","2020","2020","7021","Annual value","USD","5652","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2020","2020","7021","Annual value","USD","406","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1020","Milk, whole fresh goat","2020","2020","7021","Annual value","USD","534","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","982","Milk, whole fresh sheep","2020","2020","7021","Annual value","USD","854","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","234","Nuts nes","2020","2020","7021","Annual value","USD","3761","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2020","2020","7021","Annual value","USD","339","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","260","Olives","2020","2020","7021","Annual value","USD","965","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","403","Onions, dry","2020","2020","7021","Annual value","USD","427","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2020","2020","7021","Annual value","USD","746","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","490","Oranges","2020","2020","7021","Annual value","USD","502","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","2020","2020","7021","Annual value","USD","653","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","521","Pears","2020","2020","7021","Annual value","USD","775","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","417","Peas, green","2020","2020","7021","Annual value","USD","807","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","536","Plums and sloes","2020","2020","7021","Annual value","USD","561","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","116","Potatoes","2020","2020","7021","Annual value","USD","321","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","523","Quinces","2020","2020","7021","Annual value","USD","724","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","71","Rye","2020","2020","7021","Annual value","USD","554","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","236","Soybeans","2020","2020","7021","Annual value","USD","556","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","373","Spinach","2020","2020","7021","Annual value","USD","663","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","267","Sunflower seed","2020","2020","7021","Annual value","USD","1038","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","2020","2020","7021","Annual value","USD","545","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","2020","2020","7021","Annual value","USD","3875","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","388","Tomatoes","2020","2020","7021","Annual value","USD","461","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","567","Watermelons","2020","2020","7021","Annual value","USD","168","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","15","Wheat","2020","2020","7021","Annual value","USD","295","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","987","Wool, greasy","2020","2020","7021","Annual value","USD","354","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","1844","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","7021","Annual value","USD","214","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","414","Beans, green","2018","2018","7021","Annual value","USD","1226","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2018","2018","7021","Annual value","USD","429","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2018","2018","7021","Annual value","USD","377","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2018","2018","7021","Annual value","USD","515","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2018","2018","7021","Annual value","USD","643","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","577","Dates","2018","2018","7021","Annual value","USD","3371","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2018","2018","7021","Annual value","USD","1544","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","2018","2018","7021","Annual value","USD","2487","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","560","Grapes","2018","2018","7021","Annual value","USD","1544","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","497","Lemons and limes","2018","2018","7021","Annual value","USD","1467","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2018","2018","7021","Annual value","USD","532","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","7021","Annual value","USD","8277","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","7021","Annual value","USD","2453","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","7021","Annual value","USD","9623","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2018","2018","7021","Annual value","USD","412","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","7021","Annual value","USD","137","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","403","Onions, dry","2018","2018","7021","Annual value","USD","266","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2018","2018","7021","Annual value","USD","292","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","490","Oranges","2018","2018","7021","Annual value","USD","1081","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","521","Pears","2018","2018","7021","Annual value","USD","1561","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","417","Peas, green","2018","2018","7021","Annual value","USD","755","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","2018","2018","7021","Annual value","USD","377","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","2018","2018","7021","Annual value","USD","1261","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","2018","2018","7021","Annual value","USD","532","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","420","Vegetables, leguminous nes","2018","2018","7021","Annual value","USD","489","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","567","Watermelons","2018","2018","7021","Annual value","USD","300","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","386","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","2019","2019","7021","Annual value","USD","1902","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","2019","2019","7021","Annual value","USD","209","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","414","Beans, green","2019","2019","7021","Annual value","USD","1248","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2019","2019","7021","Annual value","USD","385","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2019","2019","7021","Annual value","USD","411","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2019","2019","7021","Annual value","USD","553","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2019","2019","7021","Annual value","USD","712","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","577","Dates","2019","2019","7021","Annual value","USD","3645","","Official data"
